supplier,solar_farm,costs
a_96,b_1,2629
a_97,b_1,2165
a_98,b_1,2603
a_99,b_1,4238
a_100,b_1,10702
a_1,b_2,4908
a_2,b_2,9329
a_3,b_2,7136
a_4,b_2,8936
a_5,b_2,7810
a_6,b_2,6250
a_7,b_2,11780
a_8,b_2,7946
a_9,b_2,2139
a_10,b_2,2975
a_11,b_2,5231
a_12,b_2,7383
a_13,b_2,5306
a_14,b_2,11080
a_15,b_2,3491
a_16,b_2,8852
a_17,b_2,4190
a_18,b_2,9647
a_19,b_2,5061
a_20,b_2,3133
a_21,b_2,11522
a_22,b_2,10435
a_23,b_2,6717
a_24,b_2,4861
a_25,b_2,7273
a_26,b_2,4453
a_27,b_2,8147
a_28,b_2,10455
a_29,b_2,10490
a_30,b_2,10970
a_31,b_2,8860
a_32,b_2,4334
a_33,b_2,4139
a_34,b_2,11900
a_35,b_2,11292
a_36,b_2,6762
a_37,b_2,1179
a_38,b_2,6630
a_39,b_2,11906
a_40,b_2,6705
a_41,b_2,9514
a_42,b_2,6380
a_43,b_2,5793
a_44,b_2,6162
a_45,b_2,1901
a_46,b_2,8593
a_47,b_2,6371
a_48,b_2,6073
a_49,b_2,2980
a_50,b_2,1434
a_51,b_2,4647
a_52,b_2,8684
a_53,b_2,7249
a_54,b_2,4461
a_55,b_2,2751
a_56,b_2,7577
a_57,b_2,9994
a_58,b_2,11005
a_59,b_2,6375
a_60,b_2,6764
a_61,b_2,1408
a_62,b_2,10540
a_63,b_2,1107
a_64,b_2,5370
a_65,b_2,1527
a_66,b_2,4193
a_67,b_2,1983
a_68,b_2,6567
a_69,b_2,2137
a_70,b_2,4395
a_71,b_2,6007
a_72,b_2,7948
a_73,b_2,1772
a_74,b_2,5489
a_75,b_2,6978
a_76,b_2,3127
a_77,b_2,9077
a_78,b_2,2713
a_79,b_2,10530
a_80,b_2,2090
a_81,b_2,10826
a_82,b_2,9956
a_83,b_2,3848
a_84,b_2,9734
a_85,b_2,5951
a_86,b_2,5034
a_87,b_2,8123
a_88,b_2,6645
a_89,b_2,6209
a_90,b_2,9799
a_91,b_2,2464
a_92,b_2,7121
a_93,b_2,6018
a_94,b_2,7138
a_95,b_2,10160
a_96,b_2,3271
a_97,b_2,7947
a_98,b_2,5604
a_99,b_2,11589
a_100,b_2,9380
a_1,b_3,2174
a_2,b_3,8439
a_3,b_3,6621
a_4,b_3,10652
a_5,b_3,10291
a_6,b_3,2618
a_7,b_3,4637
a_8,b_3,3384
a_9,b_3,10784
a_10,b_3,4635
a_11,b_3,11154
a_12,b_3,9474
a_13,b_3,7407
a_14,b_3,6271
a_15,b_3,7219
a_16,b_3,9499
a_17,b_3,8516
a_18,b_3,3837
a_19,b_3,4867
a_20,b_3,9258
a_21,b_3,6403
a_22,b_3,1856
a_23,b_3,5837
a_24,b_3,5523
a_25,b_3,2075
a_26,b_3,3372
a_27,b_3,2241
a_28,b_3,1658
a_29,b_3,7272
a_30,b_3,8030
a_31,b_3,5947
a_32,b_3,5016
a_33,b_3,6660
a_34,b_3,6522
a_35,b_3,8788
a_36,b_3,2149
a_37,b_3,9850
a_38,b_3,1382
a_39,b_3,8668
a_40,b_3,7134
a_41,b_3,4902
a_42,b_3,1708
a_43,b_3,6434
a_44,b_3,4970
a_45,b_3,11365
a_46,b_3,4244
a_47,b_3,6987
a_48,b_3,4386
a_49,b_3,9833
a_50,b_3,11565
a_51,b_3,2087
a_52,b_3,10758
a_53,b_3,4267
a_54,b_3,8756
a_55,b_3,11067
a_56,b_3,10551
a_57,b_3,10210
a_58,b_3,11722
a_59,b_3,11984
a_60,b_3,10165
a_61,b_3,10148
a_62,b_3,2390
a_63,b_3,5064
a_64,b_3,3019
a_65,b_3,5654
a_66,b_3,1577
a_67,b_3,5145
a_68,b_3,5181
a_69,b_3,8115
a_70,b_3,11884
a_71,b_3,5271
a_72,b_3,10695
a_73,b_3,2136
a_74,b_3,3578
a_75,b_3,7443
a_76,b_3,5938
a_77,b_3,2397
a_78,b_3,11095
a_79,b_3,4417
a_80,b_3,11872
a_81,b_3,10532
a_82,b_3,3770
a_83,b_3,8468
a_84,b_3,4190
a_85,b_3,2342
a_86,b_3,2024
a_87,b_3,3060
a_88,b_3,10592
a_89,b_3,11724
a_90,b_3,11342
a_91,b_3,7329
a_92,b_3,4966
a_93,b_3,4136
a_94,b_3,10372
a_95,b_3,8415
a_96,b_3,1658
a_97,b_3,6374
a_98,b_3,1604
a_99,b_3,2244
a_100,b_3,9317
a_1,b_4,1760
a_2,b_4,3961
a_3,b_4,4836
a_4,b_4,5778
a_5,b_4,2529
a_6,b_4,2168
a_7,b_4,10040
a_8,b_4,3736
a_9,b_4,8166
a_10,b_4,3811
a_11,b_4,2471
a_12,b_4,8697
a_13,b_4,6935
a_14,b_4,10451
a_15,b_4,5375
a_16,b_4,8357
a_17,b_4,11926
a_18,b_4,8574
a_19,b_4,5271
a_20,b_4,8589
a_21,b_4,9979
a_22,b_4,4338
a_23,b_4,2642
a_24,b_4,11556
a_25,b_4,5785
a_26,b_4,2698
a_27,b_4,7327
a_28,b_4,9346
a_29,b_4,7788
a_30,b_4,5396
a_31,b_4,10950
a_32,b_4,7248
a_33,b_4,3467
a_34,b_4,6565
a_35,b_4,10200
a_36,b_4,8826
a_37,b_4,2333
a_38,b_4,3598
a_39,b_4,6398
a_40,b_4,6966
a_41,b_4,10153
a_42,b_4,10693
a_43,b_4,4076
a_44,b_4,4526
a_45,b_4,7468
a_46,b_4,11957
a_47,b_4,6473
a_48,b_4,8863
a_49,b_4,7908
a_50,b_4,5695
a_51,b_4,1538
a_52,b_4,3515
a_53,b_4,5561
a_54,b_4,2672
a_55,b_4,10860
a_56,b_4,8910
a_57,b_4,5616
a_58,b_4,4859
a_59,b_4,10193
a_60,b_4,11495
a_61,b_4,11136
a_62,b_4,1771
a_63,b_4,9212
a_64,b_4,4218
a_65,b_4,10305
a_66,b_4,7968
a_67,b_4,3459
a_68,b_4,6203
a_69,b_4,9061
a_70,b_4,4456
a_71,b_4,7608
a_72,b_4,8848
a_73,b_4,10920
a_74,b_4,7247
a_75,b_4,5223
a_76,b_4,8346
a_77,b_4,11605
a_78,b_4,4168
a_79,b_4,9861
a_80,b_4,9740
a_81,b_4,7873
a_82,b_4,4173
a_83,b_4,8788
a_84,b_4,2370
a_85,b_4,11057
a_86,b_4,3633
a_87,b_4,6282
a_88,b_4,2423
a_89,b_4,7054
a_90,b_4,5001
a_91,b_4,6616
a_92,b_4,10248
a_93,b_4,11486
a_94,b_4,1239
a_95,b_4,10913
a_96,b_4,7545
a_97,b_4,9009
a_98,b_4,11943
a_99,b_4,7041
a_100,b_4,5072
a_1,b_5,1811
a_2,b_5,7211
a_3,b_5,10535
a_4,b_5,3341
a_5,b_5,2772
a_6,b_5,8684
a_7,b_5,11654
a_8,b_5,11609
a_9,b_5,6212
a_10,b_5,9560
a_11,b_5,10355
a_12,b_5,8518
a_13,b_5,10966
a_14,b_5,11932
a_15,b_5,7302
a_16,b_5,8969
a_17,b_5,3648
a_18,b_5,10726
a_19,b_5,10512
a_20,b_5,9862
a_21,b_5,6127
a_22,b_5,11391
a_23,b_5,10984
a_24,b_5,5037
a_25,b_5,4215
a_26,b_5,6883
a_27,b_5,4016
a_28,b_5,1423
a_29,b_5,9121
a_30,b_5,1840
a_31,b_5,1448
a_32,b_5,3816
a_33,b_5,6740
a_34,b_5,5524
a_35,b_5,2019
a_36,b_5,4726
a_37,b_5,1677
a_38,b_5,5337
a_39,b_5,7334
a_40,b_5,6156
a_41,b_5,3557
a_42,b_5,6656
a_43,b_5,3894
a_44,b_5,1237
a_45,b_5,2515
a_46,b_5,8702
a_47,b_5,10807
a_48,b_5,9857
a_49,b_5,6898
a_50,b_5,10130
a_51,b_5,2523
a_52,b_5,4104
a_53,b_5,11423
a_54,b_5,10046
a_55,b_5,4963
a_56,b_5,11437
a_57,b_5,9350
a_58,b_5,9711
a_59,b_5,2799
a_60,b_5,7861
a_61,b_5,5757
a_62,b_5,3779
a_63,b_5,6582
a_64,b_5,11677
a_65,b_5,7646
a_66,b_5,5910
a_67,b_5,1398
a_68,b_5,3410
a_69,b_5,1904
a_70,b_5,4668
a_71,b_5,10693
a_72,b_5,8518
a_73,b_5,5841
a_74,b_5,8926
a_75,b_5,1797
a_76,b_5,11088
a_77,b_5,11756
a_78,b_5,10663
a_79,b_5,2398
a_80,b_5,10518
a_81,b_5,1268
a_82,b_5,3378
a_83,b_5,11312
a_84,b_5,1877
a_85,b_5,7428
a_86,b_5,2019
a_87,b_5,6617
a_88,b_5,7102
a_89,b_5,8788
a_90,b_5,6248
a_91,b_5,8291
a_92,b_5,8930
a_93,b_5,11920
a_94,b_5,4416
a_95,b_5,8956
a_96,b_5,3322
a_97,b_5,3289
a_98,b_5,4559
a_99,b_5,3960
a_100,b_5,7282
a_1,b_6,5726
a_2,b_6,5883
a_3,b_6,6716
a_4,b_6,3368
a_5,b_6,10292
a_6,b_6,9296
a_7,b_6,3440
a_8,b_6,2029
a_9,b_6,6992
a_10,b_6,2726
a_11,b_6,9661
a_12,b_6,7531
a_13,b_6,6009
a_14,b_6,10463
a_15,b_6,6358
a_16,b_6,3373
a_17,b_6,10094
a_18,b_6,11317
a_19,b_6,1360
a_20,b_6,6192
a_21,b_6,8136
a_22,b_6,3196
a_23,b_6,11480
a_24,b_6,8248
a_25,b_6,9155
a_26,b_6,10571
a_27,b_6,9338
a_28,b_6,10521
a_29,b_6,1330
a_30,b_6,2389
a_31,b_6,5493
a_32,b_6,10919
a_33,b_6,2844
a_34,b_6,1121
a_35,b_6,1646
a_36,b_6,6828
a_37,b_6,1442
a_38,b_6,6489
a_39,b_6,1214
a_40,b_6,6644
a_41,b_6,7397
a_42,b_6,10402
a_43,b_6,5035
a_44,b_6,11614
a_45,b_6,1727
a_46,b_6,1949
a_47,b_6,9635
a_48,b_6,10474
a_49,b_6,6032
a_50,b_6,9707
a_51,b_6,6054
a_52,b_6,9885
a_53,b_6,5811
a_54,b_6,7732
a_55,b_6,4551
a_56,b_6,6994
a_57,b_6,8955
a_58,b_6,9505
a_59,b_6,2013
a_60,b_6,6512
a_61,b_6,1092
a_62,b_6,7045
a_63,b_6,3610
a_64,b_6,2398
a_65,b_6,10426
a_66,b_6,10451
a_67,b_6,9073
a_68,b_6,8975
a_69,b_6,6883
a_70,b_6,9908
a_71,b_6,3295
a_72,b_6,6416
a_73,b_6,4453
a_74,b_6,7694
a_75,b_6,10165
a_76,b_6,6168
a_77,b_6,1397
a_78,b_6,5433
a_79,b_6,1608
a_80,b_6,5947
a_81,b_6,10809
a_82,b_6,1166
a_83,b_6,11758
a_84,b_6,5425
a_85,b_6,2231
a_86,b_6,10668
a_87,b_6,10709
a_88,b_6,7646
a_89,b_6,9369
a_90,b_6,10815
a_91,b_6,8719
a_92,b_6,3462
a_93,b_6,11211
a_94,b_6,7178
a_95,b_6,6941
a_96,b_6,2264
a_97,b_6,1567
a_98,b_6,1739
a_99,b_6,9473
a_100,b_6,2646
a_1,b_7,2021
a_2,b_7,11877
a_3,b_7,6298
a_4,b_7,1791
a_5,b_7,9699
a_6,b_7,4554
a_7,b_7,4806
a_8,b_7,1615
a_9,b_7,8573
a_10,b_7,2448
a_11,b_7,2128
a_12,b_7,7130
a_13,b_7,4774
a_14,b_7,2638
a_15,b_7,2205
a_16,b_7,8724
a_17,b_7,2313
a_18,b_7,8500
a_19,b_7,3384
a_20,b_7,1891
a_21,b_7,4649
a_22,b_7,3064
a_23,b_7,3156
a_24,b_7,1178
a_25,b_7,1735
a_26,b_7,2833
a_27,b_7,3207
a_28,b_7,4546
a_29,b_7,4753
a_30,b_7,8142
a_31,b_7,10210
a_32,b_7,4853
a_33,b_7,8100
a_34,b_7,3155
a_35,b_7,1863
a_36,b_7,7149
a_37,b_7,3687
a_38,b_7,4764
a_39,b_7,5167
a_40,b_7,4897
a_41,b_7,9474
a_42,b_7,5237
a_43,b_7,4474
a_44,b_7,5958
a_45,b_7,6148
a_46,b_7,1078
a_47,b_7,7057
a_48,b_7,6460
a_49,b_7,6326
a_50,b_7,11075
a_51,b_7,10926
a_52,b_7,5131
a_53,b_7,4166
a_54,b_7,2346
a_55,b_7,10967
a_56,b_7,7442
a_57,b_7,7932
a_58,b_7,5596
a_59,b_7,6292
a_60,b_7,1824
a_61,b_7,5162
a_62,b_7,4456
a_63,b_7,6259
a_64,b_7,11737
a_65,b_7,8736
a_66,b_7,2435
a_67,b_7,1320
a_68,b_7,10454
a_69,b_7,4576
a_70,b_7,2786
a_71,b_7,10094
a_72,b_7,4075
a_73,b_7,5520
a_74,b_7,8051
a_75,b_7,6004
a_76,b_7,2912
a_77,b_7,4243
a_78,b_7,4062
a_79,b_7,8735
a_80,b_7,7305
a_81,b_7,3037
a_82,b_7,9818
a_83,b_7,6049
a_84,b_7,6887
a_85,b_7,11935
a_86,b_7,11890
a_87,b_7,10825
a_88,b_7,5690
a_89,b_7,10611
a_90,b_7,4408
a_91,b_7,10315
a_92,b_7,4425
a_93,b_7,4457
a_94,b_7,5545
a_95,b_7,8131
a_96,b_7,3698
a_97,b_7,10709
a_98,b_7,2709
a_99,b_7,8035
a_100,b_7,3820
a_1,b_8,4600
a_2,b_8,9056
a_3,b_8,7488
a_4,b_8,11717
a_5,b_8,4873
a_6,b_8,2338
a_7,b_8,3788
a_8,b_8,10569
a_9,b_8,10403
a_10,b_8,6955
a_11,b_8,9226
a_12,b_8,10152
a_13,b_8,11821
a_14,b_8,9123
a_15,b_8,4230
a_16,b_8,3292
a_17,b_8,1460
a_18,b_8,2894
a_19,b_8,4524
a_20,b_8,7303
a_21,b_8,2833
a_22,b_8,6953
a_23,b_8,10810
a_24,b_8,10735
a_25,b_8,4516
a_26,b_8,11697
a_27,b_8,1065
a_28,b_8,1707
a_29,b_8,1000
a_30,b_8,8775
a_31,b_8,7520
a_32,b_8,1374
a_33,b_8,9691
a_34,b_8,2305
a_35,b_8,1050
a_36,b_8,9604
a_37,b_8,2211
a_38,b_8,9211
a_39,b_8,9396
a_40,b_8,6709
a_41,b_8,3987
a_42,b_8,10593
a_43,b_8,8274
a_44,b_8,9584
a_45,b_8,1643
a_46,b_8,3989
a_47,b_8,4000
a_48,b_8,7493
a_49,b_8,7313
a_50,b_8,9335
a_51,b_8,11382
a_52,b_8,11277
a_53,b_8,8763
a_54,b_8,2982
a_55,b_8,3605
a_56,b_8,6511
a_57,b_8,1985
a_58,b_8,11255
a_59,b_8,1843
a_60,b_8,3984
a_61,b_8,7238
a_62,b_8,7953
a_63,b_8,4484
a_64,b_8,7478
a_65,b_8,1822
a_66,b_8,7446
a_67,b_8,4006
a_68,b_8,9597
a_69,b_8,9881
a_70,b_8,3725
a_71,b_8,7354
a_72,b_8,11725
a_73,b_8,8265
a_74,b_8,4463
a_75,b_8,11964
a_76,b_8,9912
a_77,b_8,9761
a_78,b_8,10945
a_79,b_8,3196
a_80,b_8,5196
a_81,b_8,1798
a_82,b_8,6011
a_83,b_8,6701
a_84,b_8,1062
a_85,b_8,3822
a_86,b_8,5366
a_87,b_8,7899
a_88,b_8,4773
a_89,b_8,10581
a_90,b_8,2216
a_91,b_8,4296
a_92,b_8,11233
a_93,b_8,4311
a_94,b_8,11141
a_95,b_8,4908
a_96,b_8,7507
a_97,b_8,6949
a_98,b_8,4722
a_99,b_8,6936
a_100,b_8,9149
a_1,b_9,2477
a_2,b_9,4368
a_3,b_9,1607
a_4,b_9,5757
a_5,b_9,7538
a_6,b_9,6577
a_7,b_9,11275
a_8,b_9,3984
a_9,b_9,2918
a_10,b_9,3640
a_11,b_9,8390
a_12,b_9,3284
a_13,b_9,3754
a_14,b_9,8523
a_15,b_9,1756
a_16,b_9,5905
a_17,b_9,10288
a_18,b_9,3423
a_19,b_9,3965
a_20,b_9,5796
a_21,b_9,5197
a_22,b_9,10877
a_23,b_9,2171
a_24,b_9,3410
a_25,b_9,8056
a_26,b_9,10928
a_27,b_9,10066
a_28,b_9,6049
a_29,b_9,4310
a_30,b_9,6212
a_31,b_9,1455
a_32,b_9,2726
a_33,b_9,5067
a_34,b_9,7636
a_35,b_9,10268
a_36,b_9,4120
a_37,b_9,10624
a_38,b_9,7451
a_39,b_9,5545
a_40,b_9,4441
a_41,b_9,2078
a_42,b_9,2896
a_43,b_9,11943
a_44,b_9,9263
a_45,b_9,11781
a_46,b_9,11626
a_47,b_9,10225
a_48,b_9,5894
a_49,b_9,11893
a_50,b_9,9663
a_51,b_9,8238
a_52,b_9,2141
a_53,b_9,8587
a_54,b_9,10023
a_55,b_9,8288
a_56,b_9,1780
a_57,b_9,1439
a_58,b_9,8933
a_59,b_9,2862
a_60,b_9,7937
a_61,b_9,2454
a_62,b_9,8951
a_63,b_9,1987
a_64,b_9,8419
a_65,b_9,6696
a_66,b_9,2708
a_67,b_9,1933
a_68,b_9,8083
a_69,b_9,2643
a_70,b_9,10495
a_71,b_9,11068
a_72,b_9,11869
a_73,b_9,6810
a_74,b_9,10268
a_75,b_9,10092
a_76,b_9,7379
a_77,b_9,8277
a_78,b_9,7357
a_79,b_9,11882
a_80,b_9,7383
a_81,b_9,7532
a_82,b_9,1160
a_83,b_9,10473
a_84,b_9,3009
a_85,b_9,3205
a_86,b_9,2896
a_87,b_9,3978
a_88,b_9,8998
a_89,b_9,9408
a_90,b_9,11640
a_91,b_9,8125
a_92,b_9,8170
a_93,b_9,7404
a_94,b_9,9257
a_95,b_9,7908
a_96,b_9,11407
a_97,b_9,10041
a_98,b_9,11331
a_99,b_9,6410
a_100,b_9,4244
a_1,b_10,6433
a_2,b_10,4076
a_3,b_10,10892
a_4,b_10,2060
a_5,b_10,8419
a_6,b_10,9587
a_7,b_10,8135
a_8,b_10,8647
a_9,b_10,5874
a_10,b_10,6314
a_11,b_10,10506
a_12,b_10,6486
a_13,b_10,5898
a_14,b_10,5845
a_15,b_10,11065
a_16,b_10,5257
a_17,b_10,8564
a_18,b_10,7381
a_19,b_10,6161
a_20,b_10,6113
a_21,b_10,10070
a_22,b_10,11911
a_23,b_10,8771
a_24,b_10,7279
a_25,b_10,7377
a_26,b_10,11970
a_27,b_10,9258
a_28,b_10,11129
a_29,b_10,4743
a_30,b_10,7837
a_31,b_10,4326
a_32,b_10,2252
a_33,b_10,5556
a_34,b_10,7733
a_35,b_10,4105
a_36,b_10,8476
a_37,b_10,4836
a_38,b_10,5582
a_39,b_10,8599
a_40,b_10,9745
a_41,b_10,7757
a_42,b_10,4616
a_43,b_10,9304
a_44,b_10,1734
a_45,b_10,2517
a_46,b_10,1956
a_47,b_10,8593
a_48,b_10,11020
a_49,b_10,5049
a_50,b_10,2079
a_51,b_10,7125
a_52,b_10,11258
a_53,b_10,6715
a_54,b_10,9458
a_55,b_10,1303
a_56,b_10,8965
a_57,b_10,10492
a_58,b_10,9193
a_59,b_10,10957
a_60,b_10,3285
a_61,b_10,11985
a_62,b_10,1949
a_63,b_10,5151
a_64,b_10,10865
a_65,b_10,10059
a_66,b_10,3853
a_67,b_10,7392
a_68,b_10,4964
a_69,b_10,5310
a_70,b_10,3308
a_71,b_10,7369
a_72,b_10,4860
a_73,b_10,2652
a_74,b_10,6042
a_75,b_10,1487
a_76,b_10,5823
a_77,b_10,1622
a_78,b_10,2690
a_79,b_10,6821
a_80,b_10,4646
a_81,b_10,5639
a_82,b_10,3288
a_83,b_10,8915
a_84,b_10,7609
a_85,b_10,6617
a_86,b_10,4364
a_87,b_10,7290
a_88,b_10,7774
a_89,b_10,3096
a_90,b_10,4502
a_91,b_10,8078
a_92,b_10,7077
a_93,b_10,9590
a_94,b_10,11648
a_95,b_10,10428
a_96,b_10,7955
a_97,b_10,10601
a_98,b_10,1073
a_99,b_10,2254
a_100,b_10,4210
a_1,b_11,3150
a_2,b_11,2635
a_3,b_11,3890
a_4,b_11,10249
a_5,b_11,2972
a_6,b_11,2688
a_7,b_11,3639
a_8,b_11,11314
a_9,b_11,8236
a_10,b_11,11383
a_11,b_11,3730
a_12,b_11,8113
a_13,b_11,1886
a_14,b_11,3668
a_15,b_11,5975
a_16,b_11,7884
a_17,b_11,5277
a_18,b_11,8937
a_19,b_11,10777
a_20,b_11,8961
a_21,b_11,10756
a_22,b_11,9148
a_23,b_11,11462
a_24,b_11,2618
a_25,b_11,11546
a_26,b_11,6701
a_27,b_11,4107
a_28,b_11,2395
a_29,b_11,5478
a_30,b_11,7916
a_31,b_11,7153
a_32,b_11,5372
a_33,b_11,3370
a_34,b_11,11394
a_35,b_11,10836
a_36,b_11,7310
a_37,b_11,1516
a_38,b_11,3517
a_39,b_11,6584
a_40,b_11,8894
a_41,b_11,4222
a_42,b_11,3978
a_43,b_11,7119
a_44,b_11,8973
a_45,b_11,2733
a_46,b_11,1305
a_47,b_11,10942
a_48,b_11,9036
a_49,b_11,5454
a_50,b_11,8344
a_51,b_11,3220
a_52,b_11,11197
a_53,b_11,11320
a_54,b_11,1469
a_55,b_11,4977
a_56,b_11,7891
a_57,b_11,5997
a_58,b_11,4775
a_59,b_11,8420
a_60,b_11,1401
a_61,b_11,4199
a_62,b_11,2726
a_63,b_11,2406
a_64,b_11,7723
a_65,b_11,5689
a_66,b_11,11778
a_67,b_11,3800
a_68,b_11,2495
a_69,b_11,9785
a_70,b_11,7889
a_71,b_11,3422
a_72,b_11,2188
a_73,b_11,3738
a_74,b_11,5324
a_75,b_11,9732
a_76,b_11,2182
a_77,b_11,1748
a_78,b_11,2694
a_79,b_11,5629
a_80,b_11,7612
a_81,b_11,7176
a_82,b_11,4272
a_83,b_11,9596
a_84,b_11,6650
a_85,b_11,6222
a_86,b_11,9880
a_87,b_11,6904
a_88,b_11,7223
a_89,b_11,6451
a_90,b_11,11062
a_91,b_11,1141
a_92,b_11,9315
a_93,b_11,9625
a_94,b_11,5858
a_95,b_11,10687
a_96,b_11,6025
a_97,b_11,4327
a_98,b_11,4413
a_99,b_11,11710
a_100,b_11,2958
a_1,b_12,11981
a_2,b_12,4028
a_3,b_12,10503
a_4,b_12,6136
a_5,b_12,11927
a_6,b_12,2495
a_7,b_12,4964
a_8,b_12,8624
a_9,b_12,8938
a_10,b_12,1668
a_11,b_12,6097
a_12,b_12,1458
a_13,b_12,9416
a_14,b_12,6644
a_15,b_12,9740
a_16,b_12,10198
a_17,b_12,2911
a_18,b_12,7664
a_19,b_12,2581
a_20,b_12,11388
a_21,b_12,11786
a_22,b_12,6212
a_23,b_12,5253
a_24,b_12,4079
a_25,b_12,4188
a_26,b_12,9225
a_27,b_12,2741
a_28,b_12,1269
a_29,b_12,1703
a_30,b_12,11031
a_31,b_12,5420
a_32,b_12,6942
a_33,b_12,10397
a_34,b_12,4779
a_35,b_12,2981
a_36,b_12,11137
a_37,b_12,4607
a_38,b_12,8182
a_39,b_12,11761
a_40,b_12,9692
a_41,b_12,3563
a_42,b_12,1109
a_43,b_12,7083
a_44,b_12,8076
a_45,b_12,10301
a_46,b_12,11497
a_47,b_12,2884
a_48,b_12,3583
a_49,b_12,2195
a_50,b_12,1026
a_51,b_12,4506
a_52,b_12,2888
a_53,b_12,5017
a_54,b_12,8131
a_55,b_12,2748
a_56,b_12,6842
a_57,b_12,4097
a_58,b_12,4703
a_59,b_12,2969
a_60,b_12,2469
a_61,b_12,9536
a_62,b_12,8800
a_63,b_12,8834
a_64,b_12,4474
a_65,b_12,9232
a_66,b_12,5405
a_67,b_12,5569
a_68,b_12,4252
a_69,b_12,3629
a_70,b_12,8568
a_71,b_12,2710
a_72,b_12,6776
a_73,b_12,11264
a_74,b_12,11719
a_75,b_12,10931
a_76,b_12,3395
a_77,b_12,6500
a_78,b_12,5198
a_79,b_12,6825
a_80,b_12,6069
a_81,b_12,3294
a_82,b_12,8736
a_83,b_12,9203
a_84,b_12,1488
a_85,b_12,9499
a_86,b_12,4410
a_87,b_12,2908
a_88,b_12,5365
a_89,b_12,7451
a_90,b_12,5859
a_91,b_12,1627
a_92,b_12,6130
a_93,b_12,10519
a_94,b_12,7988
a_95,b_12,10182
a_96,b_12,3303
a_97,b_12,6725
a_98,b_12,10029
a_99,b_12,7745
a_100,b_12,7400
a_1,b_13,11416
a_2,b_13,9888
a_3,b_13,3427
a_4,b_13,7849
a_5,b_13,9670
a_6,b_13,9675
a_7,b_13,7176
a_8,b_13,11881
a_9,b_13,2729
a_10,b_13,6878
a_11,b_13,10946
a_12,b_13,5234
a_13,b_13,11254
a_14,b_13,7819
a_15,b_13,4133
a_16,b_13,9083
a_17,b_13,11984
a_18,b_13,9100
a_19,b_13,2897
a_20,b_13,7672
a_21,b_13,6153
a_22,b_13,3736
a_23,b_13,3250
a_24,b_13,8317
a_25,b_13,9521
a_26,b_13,11304
a_27,b_13,10324
a_28,b_13,1862
a_29,b_13,4262
a_30,b_13,11541
a_31,b_13,9019
a_32,b_13,2492
a_33,b_13,1431
a_34,b_13,7229
a_35,b_13,5682
a_36,b_13,7064
a_37,b_13,4625
a_38,b_13,4726
a_39,b_13,8966
a_40,b_13,1706
a_41,b_13,10301
a_42,b_13,4905
a_43,b_13,1951
a_44,b_13,3494
a_45,b_13,7867
a_46,b_13,9141
a_47,b_13,2539
a_48,b_13,5255
a_49,b_13,6865
a_50,b_13,10112
a_51,b_13,5310
a_52,b_13,7502
a_53,b_13,10840
a_54,b_13,1296
a_55,b_13,2867
a_56,b_13,6482
a_57,b_13,2914
a_58,b_13,3324
a_59,b_13,7873
a_60,b_13,7388
a_61,b_13,9972
a_62,b_13,9327
a_63,b_13,5673
a_64,b_13,2010
a_65,b_13,11955
a_66,b_13,5241
a_67,b_13,4909
a_68,b_13,4201
a_69,b_13,5170
a_70,b_13,3080
